0,-20.641172,-51.768584
10,-20.641082,-51.76858
20,-20.640992,-51.768576
30,-20.640902,-51.768572
40,-20.640811,-51.768568
50,-20.640721,-51.768563
60,-20.640631,-51.768559
70,-20.640541,-51.768555
80,-20.64045,-51.768551
90,-20.64036,-51.768546
100,-20.64027,-51.768542
110,-20.64018,-51.768538
120,-20.640089,-51.768534
130,-20.639999,-51.768529
140,-20.639909,-51.768525
150,-20.639818,-51.768521
160,-20.639728,-51.768517
170,-20.639638,-51.768512
180,-20.639548,-51.768508
190,-20.639457,-51.768504
200,-20.639367,-51.7685
210,-20.639277,-51.768495
220,-20.639187,-51.768491
230,-20.639096,-51.768487
240,-20.639006,-51.768483
250,-20.638916,-51.768478
260,-20.638826,-51.768474
270,-20.638735,-51.76847
280,-20.638645,-51.768466
290,-20.638555,-51.768461
300,-20.638465,-51.768457
310,-20.638374,-51.768453
320,-20.638284,-51.768448
330,-20.638194,-51.768443
340,-20.638104,-51.768438
350,-20.638013,-51.768433
360,-20.637923,-51.768428
370,-20.637833,-51.768423
380,-20.637743,-51.768418
390,-20.637652,-51.768413
400,-20.637562,-51.768408
410,-20.637472,-51.768403
420,-20.637382,-51.768398
430,-20.637291,-51.768393
440,-20.637201,-51.768388
450,-20.637111,-51.768383
460,-20.637021,-51.768378
470,-20.636931,-51.768373
480,-20.63684,-51.768368
490,-20.63675,-51.768363
500,-20.63666,-51.768358
510,-20.63657,-51.768353
520,-20.636479,-51.768348
530,-20.636389,-51.768343
540,-20.636299,-51.768338
550,-20.636209,-51.768333
560,-20.636119,-51.768328
570,-20.636028,-51.768323
580,-20.635938,-51.768318
590,-20.635848,-51.768313
600,-20.635758,-51.768308
610,-20.635667,-51.768303
620,-20.635577,-51.768298
630,-20.635487,-51.768293
640,-20.635397,-51.768288
650,-20.635306,-51.768283
660,-20.635216,-51.768278
670,-20.635126,-51.768273
680,-20.635036,-51.768268
690,-20.634946,-51.768263
700,-20.634855,-51.768258
710,-20.634765,-51.768253
720,-20.634675,-51.768248
730,-20.634585,-51.768243
740,-20.634494,-51.768239
750,-20.634404,-51.768234
760,-20.634314,-51.76823
770,-20.634224,-51.768225
780,-20.634133,-51.76822
790,-20.634043,-51.768216
800,-20.633953,-51.768211
810,-20.633863,-51.768207
820,-20.633772,-51.768202
830,-20.633682,-51.768197
840,-20.633592,-51.768193
850,-20.633502,-51.768188
860,-20.633411,-51.768184
870,-20.633321,-51.768179
880,-20.633231,-51.768174
890,-20.633141,-51.76817
900,-20.63305,-51.768165
910,-20.63296,-51.768161
920,-20.63287,-51.768156
930,-20.63278,-51.768152
940,-20.632689,-51.768147
950,-20.632599,-51.768142
960,-20.632509,-51.768138
970,-20.632419,-51.768133
980,-20.632328,-51.768129
990,-20.632238,-51.768124
1000,-20.632148,-51.768119
1010,-20.632058,-51.768115
1020,-20.631967,-51.76811
1030,-20.631877,-51.768106
1040,-20.631787,-51.768101
1050,-20.631697,-51.768096
1060,-20.631606,-51.768092
1070,-20.631516,-51.768087
1080,-20.631426,-51.768083
1090,-20.631336,-51.768078
1100,-20.631245,-51.768073
1110,-20.631155,-51.768069
1120,-20.631065,-51.768064
1130,-20.630975,-51.76806
1140,-20.630884,-51.768055
1150,-20.630794,-51.76805
1160,-20.630704,-51.768046
1170,-20.630614,-51.768041
1180,-20.630523,-51.768037
1190,-20.630433,-51.768032
1200,-20.630343,-51.768027
1210,-20.630253,-51.768023
1220,-20.630162,-51.768018
1230,-20.630072,-51.768014
1240,-20.629982,-51.768009
1250,-20.629892,-51.768005
1260,-20.629801,-51.768
1270,-20.629711,-51.767995
1280,-20.629621,-51.767991
1290,-20.629531,-51.767986
1300,-20.62944,-51.767982
1310,-20.62935,-51.767977
1320,-20.62926,-51.767973
1330,-20.62917,-51.767968
1340,-20.629079,-51.767964
1350,-20.628989,-51.767959
1360,-20.628899,-51.767955
1370,-20.628809,-51.767951
1380,-20.628718,-51.767946
1390,-20.628628,-51.767942
1400,-20.628538,-51.767937
1410,-20.628447,-51.767933
1420,-20.628357,-51.767928
1430,-20.628267,-51.767924
1440,-20.628177,-51.76792
1450,-20.628086,-51.767915
1460,-20.627996,-51.767911
1470,-20.627906,-51.767906
1480,-20.627816,-51.767902
1490,-20.627725,-51.767897
1500,-20.627635,-51.767893
1510,-20.627545,-51.767889
1520,-20.627455,-51.767884
1530,-20.627364,-51.76788
1540,-20.627274,-51.767875
1550,-20.627184,-51.767871
1560,-20.627094,-51.767866
1570,-20.627003,-51.767862
1580,-20.626913,-51.767858
1590,-20.626823,-51.767853
1600,-20.626733,-51.767849
1610,-20.626642,-51.767844
1620,-20.626552,-51.76784
1630,-20.626462,-51.767835
1640,-20.626372,-51.767831
1650,-20.626281,-51.767827
1660,-20.626191,-51.767822
1670,-20.626101,-51.767818
1680,-20.626011,-51.767813
1690,-20.62592,-51.767809
1700,-20.62583,-51.767804
1710,-20.62574,-51.7678
1720,-20.62565,-51.767796
1730,-20.625559,-51.767791
1740,-20.625469,-51.767787
1750,-20.625379,-51.767782
1760,-20.625289,-51.767778
1770,-20.625198,-51.767773
1780,-20.625108,-51.767769
1790,-20.625018,-51.767765
1800,-20.624927,-51.76776
1810,-20.624837,-51.767756
1820,-20.624747,-51.767751
1830,-20.624657,-51.767747
1840,-20.624566,-51.767742
1850,-20.624476,-51.767738
1860,-20.624386,-51.767734
1870,-20.624296,-51.767729
1880,-20.624205,-51.767725
1890,-20.624115,-51.76772
1900,-20.624025,-51.767716
1910,-20.623935,-51.767711
1920,-20.623844,-51.767707
